payoff,approximation,level,original,base,correction
$(X-K)^+$,dyadic_lookup,0,0.017778012245605455,0.017773281612058166,9.078132831903887e-07
$(X-K)^+$,dyadic_lookup,1,0.0004912888837542217,0.0004912351701763691,8.648700305764015e-08
$(X-K)^+$,dyadic_lookup,2,0.00011717760366416329,0.00011717097868589382,4.132198654780429e-08
$(X-K)^+$,dyadic_lookup,3,3.039641641429249e-05,3.0393075189763106e-05,1.619783706054415e-08
$(X-K)^+$,dyadic_lookup,4,7.5736715752625225e-06,7.571186320444966e-06,6.634887002092245e-09
$(X-K)^+$,dyadic_lookup,5,1.9339262687126044e-06,1.9334630186687826e-06,2.8190436157383438e-09
$(X-K)^+$,dyadic_lookup,6,4.7398644378720816e-07,4.7389800616599654e-07,1.2042345984757238e-09
$(X-K)^+$,dyadic_lookup,7,1.201600604033452e-07,1.2009129807785568e-07,2.74350222501502e-10
$(X-K)^+$,single_polynomial,0,0.01777929428227226,0.01772613772800832,5.221996617401349e-05
$(X-K)^+$,single_polynomial,1,0.00048781028268918866,0.00048822087020669103,4.6214059254415e-06
$(X-K)^+$,single_polynomial,2,0.00011834672862950483,0.0001182912603117518,1.729984978210209e-06
$(X-K)^+$,single_polynomial,3,2.9949109011968635e-05,2.9875994091570513e-05,5.64792936844391e-07
$(X-K)^+$,single_polynomial,4,7.712673406159289e-06,7.683099506191773e-06,1.6674131094086054e-07
$(X-K)^+$,single_polynomial,5,1.9169886881780087e-06,1.91166991338898e-06,4.363207418578713e-08
$(X-K)^+$,single_polynomial,6,4.782153008133071e-07,4.78316346451771e-07,1.242543783484788e-08
$(X-K)^+$,single_polynomial,7,1.1895125979531136e-07,1.1879268146269097e-07,2.8559995142915157e-09
$(X-K)^+$,uniform_lookup,0,0.017771552288144553,0.017747887605252602,3.3649409587051887e-06
$(X-K)^+$,uniform_lookup,1,0.0004949709862685299,0.0004941685552344613,2.9717278999698786e-07
$(X-K)^+$,uniform_lookup,2,0.00011601955452783503,0.00011577130137440369,1.2805883559667836e-07
$(X-K)^+$,uniform_lookup,3,3.016354324727427e-05,3.0090691261425042e-05,4.803186893075453e-08
$(X-K)^+$,uniform_lookup,4,7.603406115060077e-06,7.580054452052733e-06,1.5754006709743374e-08
$(X-K)^+$,uniform_lookup,5,1.8769189535550224e-06,1.8735934662794831e-06,6.651291913583706e-09
$(X-K)^+$,uniform_lookup,6,4.808202361549231e-07,4.800094487052014e-07,1.995298549800092e-09
$(X-K)^+$,uniform_lookup,7,1.1998469447806984e-07,1.1978421627143785e-07,5.486020012615818e-10
$X$,dyadic_lookup,0,0.04003992777339026,0.04003768612891024,1.675880556806575e-06
$X$,dyadic_lookup,1,0.0006915440296041005,0.0006914982460512045,5.499203031390567e-08
$X$,dyadic_lookup,2,0.00017352689022781303,0.00017349806188185336,1.4437601432388509e-08
$X$,dyadic_lookup,3,4.323153761761746e-05,4.322947416308361e-05,3.6547966051387652e-09
$X$,dyadic_lookup,4,1.0821936448709984e-05,1.0821078605730698e-05,9.228847175688932e-10
$X$,dyadic_lookup,5,2.6721912230610995e-06,2.6721170435447984e-06,2.3086280711521115e-10
$X$,dyadic_lookup,6,6.720709228914643e-07,6.719606693991869e-07,5.63205692698025e-11
$X$,dyadic_lookup,7,1.6926292822457615e-07,1.6929495814743706e-07,1.4195478191767624e-11
$X$,single_polynomial,0,0.03994903594269488,0.03988602290794648,0.00010465470241026751
$X$,single_polynomial,1,0.0006962805016565134,0.0006939244029348162,3.623626078687784e-06
$X$,single_polynomial,2,0.00017293170481854077,0.00017250675233466652,8.952916904686857e-07
$X$,single_polynomial,3,4.305086631306398e-05,4.287857501083414e-05,2.3211032052181692e-07
$X$,single_polynomial,4,1.0747232046520686e-05,1.0716382344327626e-05,5.727398242550747e-08
$X$,single_polynomial,5,2.6965158086871357e-06,2.6845508343779027e-06,1.445842889983841e-08
$X$,single_polynomial,6,6.762661861359465e-07,6.736103257498415e-07,3.6092048441099213e-09
$X$,single_polynomial,7,1.719393658905559e-07,1.7127596008376125e-07,8.907361794193695e-10
$X$,uniform_lookup,0,0.04011394415617928,0.04005913135125818,6.69324759918372e-06
$X$,uniform_lookup,1,0.0006945817917089695,0.0006931502795400383,2.011285986229285e-07
$X$,uniform_lookup,2,0.00017261123636805428,0.00017217994176453117,5.628256325612278e-08
$X$,uniform_lookup,3,4.297727449815727e-05,4.286707084285132e-05,1.3555590226840218e-08
$X$,uniform_lookup,4,1.0824511403297968e-05,1.0795173666204326e-05,3.535399163661409e-09
$X$,uniform_lookup,5,2.7237224295180583e-06,2.716998983837639e-06,8.989008309447897e-10
$X$,uniform_lookup,6,6.724781201211534e-07,6.707869853911916e-07,2.247544412065851e-10
$X$,uniform_lookup,7,1.6602246613552006e-07,1.6555183412928624e-07,5.556486136616914e-11
